"state","abbreviation","region","zip","latitude","longitude"
"Massachusetts","MA","Northeast","01906",42.468432,-71.013946
"Massachusetts","MA","Northeast","01907",42.474145,-70.906597
"Massachusetts","MA","Northeast","01908",42.428256,-70.926041
"Massachusetts","MA","Northeast","01913",42.851293,-70.95581
"Massachusetts","MA","Northeast","01915",42.570665,-70.867583
"Massachusetts","MA","Northeast","01921",42.683108,-71.01833
"Massachusetts","MA","Northeast","01922",42.757313,-70.914241
"Massachusetts","MA","Northeast","01923",42.574174,-70.950516
"Massachusetts","MA","Northeast","01929",42.64042,-70.771172
"Massachusetts","MA","Northeast","01930",42.61991,-70.681824
"Massachusetts","MA","Northeast","01937",42.585723,-70.984051
"Massachusetts","MA","Northeast","01938",42.68386,-70.842666
"Massachusetts","MA","Northeast","01940",42.534146,-71.038333
"Massachusetts","MA","Northeast","01944",42.576636,-70.767154
"Massachusetts","MA","Northeast","01945",42.501835,-70.859126
"Massachusetts","MA","Northeast","01949",42.606666,-71.010316
"Massachusetts","MA","Northeast","01950",42.812358,-70.891095
"Massachusetts","MA","Northeast","01951",42.773351,-70.850211
"Massachusetts","MA","Northeast","01952",42.844793,-70.841476
"Massachusetts","MA","Northeast","01960",42.534279,-70.969782
"Massachusetts","MA","Northeast","01966",42.640715,-70.620248
"Massachusetts","MA","Northeast","01969",42.720873,-70.89122
"Massachusetts","MA","Northeast","01970",42.524435,-70.870859
"Massachusetts","MA","Northeast","01982",42.626223,-70.85723
"Massachusetts","MA","Northeast","01983",42.641379,-70.94344
"Massachusetts","MA","Northeast","01984",42.600633,-70.883303
"Massachusetts","MA","Northeast","01985",42.799565,-70.964428
"Massachusetts","MA","Northeast","02019",42.076682,-71.47449
"Massachusetts","MA","Northeast","02021",42.175737,-71.125385
"Massachusetts","MA","Northeast","02025",42.236423,-70.814436
"Massachusetts","MA","Northeast","02026",42.246872,-71.179462
"Massachusetts","MA","Northeast","02030",42.23416,-71.291167
"Massachusetts","MA","Northeast","02032",42.156882,-71.216187
"Massachusetts","MA","Northeast","02035",42.061338,-71.245802
"Massachusetts","MA","Northeast","02038",42.084858,-71.410571
"Massachusetts","MA","Northeast","02043",42.216098,-70.88127
"Massachusetts","MA","Northeast","02045",42.292253,-70.923919
"Massachusetts","MA","Northeast","02047",42.133914,-70.686037
"Massachusetts","MA","Northeast","02048",42.017302,-71.21641
"Massachusetts","MA","Northeast","02050",42.115139,-70.710331
"Massachusetts","MA","Northeast","02052",42.184599,-71.305307
"Massachusetts","MA","Northeast","02053",42.156203,-71.430345
"Massachusetts","MA","Northeast","02054",42.173091,-71.363751
"Massachusetts","MA","Northeast","02056",42.113655,-71.334163
"Massachusetts","MA","Northeast","02061",42.164569,-70.818844
"Massachusetts","MA","Northeast","02062",42.18736,-71.195955
"Massachusetts","MA","Northeast","02066",42.202273,-70.758184
"Massachusetts","MA","Northeast","02067",42.1076,-71.181828
"Massachusetts","MA","Northeast","02071",42.103425,-71.273589
"Massachusetts","MA","Northeast","02072",42.119006,-71.10365
"Massachusetts","MA","Northeast","02081",42.146694,-71.270532
"Massachusetts","MA","Northeast","02090",42.219645,-71.216769
"Massachusetts","MA","Northeast","02093",42.052671,-71.356858
"Massachusetts","MA","Northeast","02108",42.357768,-71.064858
"Massachusetts","MA","Northeast","02109",42.367032,-71.050493
"Massachusetts","MA","Northeast","02110",42.361962,-71.047846
"Massachusetts","MA","Northeast","02111",42.350518,-71.059077
"Massachusetts","MA","Northeast","02113",42.365331,-71.055233
"Massachusetts","MA","Northeast","02114",42.363174,-71.068646
"Massachusetts","MA","Northeast","02115",42.337105,-71.105696
"Massachusetts","MA","Northeast","02116",42.350579,-71.076397
"Massachusetts","MA","Northeast","02118",42.337582,-71.070482
"Massachusetts","MA","Northeast","02119",42.324029,-71.085017
"Massachusetts","MA","Northeast","02120",42.33209,-71.096545
"Massachusetts","MA","Northeast","02121",42.306267,-71.085897
"Massachusetts","MA","Northeast","02122",42.291413,-71.042158
"Massachusetts","MA","Northeast","02124",42.285805,-71.070571
"Massachusetts","MA","Northeast","02125",42.315682,-71.055555
"Massachusetts","MA","Northeast","02126",42.274227,-71.097423
"Massachusetts","MA","Northeast","02127",42.334992,-71.039093
"Massachusetts","MA","Northeast","02128",42.361129,-71.006975
"Massachusetts","MA","Northeast","02129",42.379657,-71.061487
"Massachusetts","MA","Northeast","02130",42.309174,-71.113835
"Massachusetts","MA","Northeast","02131",42.284333,-71.126228
"Massachusetts","MA","Northeast","02132",42.280455,-71.162017
"Massachusetts","MA","Northeast","02134",42.358016,-71.128608
"Massachusetts","MA","Northeast","02135",42.349688,-71.153964
"Massachusetts","MA","Northeast","02136",42.255083,-71.12922
"Massachusetts","MA","Northeast","02138",42.379637,-71.135152
"Massachusetts","MA","Northeast","02139",42.362986,-71.103353
"Massachusetts","MA","Northeast","02140",42.392157,-71.133996
"Massachusetts","MA","Northeast","02141",42.3703,-71.08256
"Massachusetts","MA","Northeast","02142",42.361471,-71.081994
"Massachusetts","MA","Northeast","02143",42.381409,-71.096714
"Massachusetts","MA","Northeast","02144",42.399655,-71.12255
"Massachusetts","MA","Northeast","02145",42.391577,-71.08991
"Massachusetts","MA","Northeast","02148",42.42938,-71.058706
"Massachusetts","MA","Northeast","02149",42.405938,-71.054649
"Massachusetts","MA","Northeast","02150",42.396824,-71.031348
"Massachusetts","MA","Northeast","02151",42.41829,-71.001251
"Massachusetts","MA","Northeast","02152",42.373055,-70.974807
"Massachusetts","MA","Northeast","02155",42.42384,-71.107673
"Massachusetts","MA","Northeast","02163",42.366168,-71.12285
"Massachusetts","MA","Northeast","02169",42.248386,-71.002279
"Massachusetts","MA","Northeast","02170",42.266415,-71.015576
"Massachusetts","MA","Northeast","02171",42.29331,-71.018208
"Massachusetts","MA","Northeast","02176",42.455723,-71.059019
"Massachusetts","MA","Northeast","02180",42.474208,-71.097665
"Massachusetts","MA","Northeast","02184",42.206188,-71.00232
"Massachusetts","MA","Northeast","02186",42.241557,-71.082432
"Massachusetts","MA","Northeast","02188",42.204578,-70.957749
"Massachusetts","MA","Northeast","02189",42.209776,-70.928189
"Massachusetts","MA","Northeast","02190",42.166731,-70.952363
"Massachusetts","MA","Northeast","02191",42.243453,-70.942033
"Massachusetts","MA","Northeast","02199",42.347476,-71.082035
"Massachusetts","MA","Northeast","02203",42.360598,-71.058775
