"name","gender","count"
"roxanna","F",9704
"denice","F",9660
"kennedi","F",9649
"breanne","F",9645
"estelle","F",9640
"fay","F",9629
"amara","F",9623
"shea","F",9611
"maryellen","F",9601
"annemarie","F",9591
"janiya","F",9585
"brook","F",9583
"marlena","F",9581
"karli","F",9573
"scarlet","F",9556
"racheal","F",9555
"rosanna","F",9548
"annalise","F",9547
"deidra","F",9545
"iliana","F",9544
"felecia","F",9533
"maeve","F",9527
"karrie","F",9517
"ivette","F",9507
"kailee","F",9505
"judi","F",9501
"lorene","F",9491
"farrah","F",9481
"olive","F",9477
"kelsi","F",9474
"muriel","F",9466
"raelynn","F",9447
"alycia","F",9434
"haylie","F",9388
"sandi","F",9376
"shanice","F",9361
"ursula","F",9350
"etta","F",9333
"chastity","F",9326
"david","F",9322
"mariela","F",9320
"debby","F",9315
"lupe","F",9313
"kallie","F",9312
"annabel","F",9299
"kacey","F",9288
"aylin","F",9267
"patience","F",9262
"dalia","F",9252
"marisela","F",9250
"chana","F",9241
"justina","F",9230
"dallas","F",9216
"lashonda","F",9195
"dionne","F",9182
"tera","F",9178
"macey","F",9152
"kadence","F",9150
"christopher","F",9148
"dona","F",9147
"danika","F",9138
"roxana","F",9113
"rowan","F",9099
"shellie","F",9083
"amani","F",9081
"ali","F",9075
"dorothea","F",9064
"lacie","F",9064
"laney","F",9036
"finley","F",9013
"elliana","F",9005
"christal","F",8991
"raina","F",8987
"tiffanie","F",8986
"gisselle","F",8980
"janiyah","F",8979
"rhoda","F",8970
"latanya","F",8935
"savanah","F",8920
"mable","F",8919
"christiana","F",8918
"nita","F",8899
"maliyah","F",8892
"elva","F",8886
"jaimie","F",8875
"edwina","F",8874
"sade","F",8820
"consuelo","F",8803
"alysha","F",8801
"ayana","F",8775
"shyanne","F",8764
"earnestine","F",8733
"deann","F",8729
"marybeth","F",8708
"kasandra","F",8705
"amina","F",8696
"opal","F",8657
"charlee","F",8652
"amya","F",8648
"vivienne","F",8643
"laci","F",8642
"joslyn","F",8632
"cherish","F",8595
"tisha","F",8590
"essence","F",8589
"natalee","F",8585
"kenna","F",8574
"lisette","F",8565
"caren","F",8561
"latrice","F",8559
"zoie","F",8557
"alysia","F",8556
"ina","F",8554
"unknown","F",8551
"johnna","F",8546
"ansley","F",8525
"lavonne","F",8520
"maegan","F",8490
"karlie","F",8486
"amiyah","F",8475
"cherry","F",8475
"hana","F",8472
"blanche","F",8459
"lenore","F",8445
"althea","F",8440
"lilia","F",8440
"nakia","F",8413
"katheryn","F",8375
"matilda","F",8356
"rayna","F",8336
"isabela","F",8334
"luisa","F",8320
"roxann","F",8279
"kirstin","F",8270
"winifred","F",8223
"valencia","F",8212
"jimmie","F",8199
"reina","F",8198
"kerrie","F",8196
"myla","F",8183
"corey","F",8180
"celine","F",8159
"merry","F",8159
"jaida","F",8157
"monika","F",8157
"kaia","F",8150
"bernadine","F",8140
"lakesha","F",8132
"ally","F",8121
"aracely","F",8121
"kaci","F",8115
"alia","F",8114
"kristyn","F",8109
"melodie","F",8104
"annamarie","F",8102
"kamila","F",8102
"carmela","F",8091
"clarice","F",8056
"robbin","F",8042
"giuliana","F",8027
"vonda","F",8017
"georgette","F",8008
"alexandrea","F",7993
"brynlee","F",7973
"may","F",7973
"marylou","F",7956
"lizeth","F",7948
"jayleen","F",7915
"dahlia","F",7904
"fabiola","F",7901
